age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U8,2,Tue 18:45,JP4,Pitch 14,JP4.3,SPAIN,HOLLAND
U13,3,Tue 19:00,JP1,Pitch 1,JP1.1,BRAZIL,ARGENTINA
U13,3,Tue 19:00,JP1,Pitch 2,JP1.2,IRELAND,GERMANY
U13,3,Tue 19:00,JP1,Pitch 3,JP1.3,PORTUGAL,ENGLAND
U6,3,Tue 19:00,JP1,Pitch 4,JP1.4,BRAZIL,ARGENTINA
U9,3,Tue 19:00,JP2,Pitch 5,JP2.1,PORTUGAL,ENGLAND
U9,3,Tue 19:00,JP2,Pitch 6,JP2.2,IRELAND,HOLLAND
U10,3,Tue 19:00,JP2,Pitch 7,JP2.3,IRELAND,ENGLAND
U10,3,Tue 19:00,JP2,Pitch 8,JP2.4,GERMANY,SPAIN
U11,3,Tue 19:00,JP3,Pitch 9,JP3.1,ARGENTINA,GERMANY
U11,3,Tue 19:00,JP3,Pitch 10,JP3.2,HOLLAND,PORTUGAL
U7,3,Tue 19:00,JP3,Pitch 11,JP3.3,BRAZIL,ARGENTINA
U12,3,Tue 19:00,JP4,Pitch 12,JP4.1,ARGENTINA,HOLLAND
U12,3,Tue 19:00,JP4,Pitch 13,JP4.2,ENGLAND,GERMANY
U8,3,Tue 19:00,JP4,Pitch 14,JP4.3,BRAZIL,ARGENTINA
U13,4,Tue 19:15,JP1,Pitch 1,JP1.1,SPAIN,HOLLAND
U13,4,Tue 19:15,JP1,Pitch 2,JP1.2,PORTUGAL,BRAZIL
U13,4,Tue 19:15,JP1,Pitch 3,JP1.3,ARGENTINA,GERMANY
U6,4,Tue 19:15,JP1,Pitch 4,JP1.4,IRELAND,SPAIN
U9,4,Tue 19:15,JP2,Pitch 5,JP2.1,ARGENTINA,GERMANY
U9,4,Tue 19:15,JP2,Pitch 6,JP2.2,BRAZIL,SPAIN
U10,4,Tue 19:15,JP2,Pitch 7,JP2.3,HOLLAND,BRAZIL
U10,4,Tue 19:15,JP2,Pitch 8,JP2.4,ARGENTINA,PORTUGAL
U11,4,Tue 19:15,JP3,Pitch 9,JP3.1,IRELAND,SPAIN
U11,4,Tue 19:15,JP3,Pitch 10,JP3.2,BRAZIL,ENGLAND
U7,4,Tue 19:15,JP3,Pitch 11,JP3.3,IRELAND,SPAIN
U12,4,Tue 19:15,JP4,Pitch 12,JP4.1,IRELAND,BRAZIL
U12,4,Tue 19:15,JP4,Pitch 13,JP4.2,PORTUGAL,SPAIN
U8,4,Tue 19:15,JP4,Pitch 14,JP4.3,IRELAND,SPAIN
U13,5,Tue 19:30,JP1,Pitch 1,JP1.1,IRELAND,ENGLAND
U13,5,Tue 19:30,JP1,Pitch 2,JP1.2,ARGENTINA,PORTUGAL
U13,5,Tue 19:30,JP1,Pitch 3,JP1.3,BRAZIL,SPAIN
U6,5,Tue 19:30,JP1,Pitch 4,JP1.4,HOLLAND,ARGENTINA
U9,5,Tue 19:30,JP2,Pitch 5,JP2.1,IRELAND,ENGLAND
U9,5,Tue 19:30,JP2,Pitch 6,JP2.2,HOLLAND,PORTUGAL
U10,5,Tue 19:30,JP2,Pitch 7,JP2.3,IRELAND,GERMANY
U10,5,Tue 19:30,JP2,Pitch 8,JP2.4,SPAIN,ENGLAND
U11,5,Tue 19:30,JP3,Pitch 9,JP3.1,GERMANY,PORTUGAL
U11,5,Tue 19:30,JP3,Pitch 10,JP3.2,ARGENTINA,HOLLAND
U7,5,Tue 19:30,JP3,Pitch 11,JP3.3,HOLLAND,ARGENTINA
U12,5,Tue 19:30,JP4,Pitch 12,JP4.1,HOLLAND,GERMANY
U12,5,Tue 19:30,JP4,Pitch 13,JP4.2,ENGLAND,ARGENTINA
U8,5,Tue 19:30,JP4,Pitch 14,JP4.3,HOLLAND,ARGENTINA
U13,6,Tue 19:45,JP1,Pitch 1,JP1.1,HOLLAND,GERMANY
U13,6,Tue 19:45,JP1,Pitch 2,JP1.2,ENGLAND,ARGENTINA
U13,6,Tue 19:45,JP1,Pitch 3,JP1.3,IRELAND,PORTUGAL
U6,6,Tue 19:45,JP1,Pitch 4,JP1.4,GERMANY,BRAZIL
U9,6,Tue 19:45,JP2,Pitch 5,JP2.1,GERMANY,BRAZIL
U9,6,Tue 19:45,JP2,Pitch 6,JP2.2,SPAIN,ARGENTINA
U10,6,Tue 19:45,JP2,Pitch 7,JP2.3,BRAZIL,ARGENTINA
U10,6,Tue 19:45,JP2,Pitch 8,JP2.4,HOLLAND,PORTUGAL
U11,6,Tue 19:45,JP3,Pitch 9,JP3.1,IRELAND,ENGLAND
U11,6,Tue 19:45,JP3,Pitch 10,JP3.2,BRAZIL,SPAIN
U7,6,Tue 19:45,JP3,Pitch 11,JP3.3,GERMANY,BRAZIL
U12,6,Tue 19:45,JP4,Pitch 12,JP4.1,PORTUGAL,BRAZIL
U12,6,Tue 19:45,JP4,Pitch 13,JP4.2,IRELAND,SPAIN
U8,6,Tue 19:45,JP4,Pitch 14,JP4.3,GERMANY,BRAZIL
U13,7,Tue 20:00,JP1,Pitch 1,JP1.1,HOLLAND,BRAZIL
U13,7,Tue 20:00,JP1,Pitch 2,JP1.2,GERMANY,SPAIN
U6,7,Tue 20:00,JP1,Pitch 4,JP1.4,IRELAND,HOLLAND
U9,7,Tue 20:00,JP2,Pitch 5,JP2.1,SPAIN,ENGLAND
U9,7,Tue 20:00,JP2,Pitch 6,JP2.2,IRELAND,BRAZIL
U10,7,Tue 20:00,JP2,Pitch 7,JP2.3,IRELAND,BRAZIL
U10,7,Tue 20:00,JP2,Pitch 8,JP2.4,PORTUGAL,SPAIN
U11,7,Tue 20:00,JP3,Pitch 9,JP3.1,ENGLAND,GERMANY
U11,7,Tue 20:00,JP3,Pitch 10,JP3.2,PORTUGAL,BRAZIL
U7,7,Tue 20:00,JP3,Pitch 11,JP3.3,IRELAND,HOLLAND
U12,7,Tue 20:00,JP4,Pitch 12,JP4.1,IRELAND,ENGLAND
U12,7,Tue 20:00,JP4,Pitch 13,JP4.2,HOLLAND,BRAZIL
U8,7,Tue 20:00,JP4,Pitch 14,JP4.3,IRELAND,HOLLAND
U13,8,Tue 20:15,JP1,Pitch 1,JP1.1,IRELAND,SPAIN
U13,8,Tue 20:15,JP1,Pitch 2,JP1.2,ENGLAND,HOLLAND
U6,8,Tue 20:15,JP1,Pitch 4,JP1.4,SPAIN,BRAZIL
U9,8,Tue 20:15,JP2,Pitch 5,JP2.1,ARGENTINA,HOLLAND
U9,8,Tue 20:15,JP2,Pitch 6,JP2.2,GERMANY,PORTUGAL
U10,8,Tue 20:15,JP2,Pitch 7,JP2.3,ENGLAND,ARGENTINA
U10,8,Tue 20:15,JP2,Pitch 8,JP2.4,HOLLAND,GERMANY
U11,8,Tue 20:15,JP3,Pitch 9,JP3.1,SPAIN,ARGENTINA
U11,8,Tue 20:15,JP3,Pitch 10,JP3.2,IRELAND,HOLLAND
U7,8,Tue 20:15,JP3,Pitch 11,JP3.3,SPAIN,BRAZIL
U12,8,Tue 20:15,JP4,Pitch 12,JP4.1,SPAIN,ARGENTINA
U12,8,Tue 20:15,JP4,Pitch 13,JP4.2,GERMANY,PORTUGAL
U8,8,Tue 20:15,JP4,Pitch 14,JP4.3,SPAIN,BRAZIL
U13,9,Thu 18:30,JP1,Pitch 1,JP1.1,PORTUGAL,SPAIN
U13,9,Thu 18:30,JP1,Pitch 2,JP1.2,IRELAND,BRAZIL
U13,9,Thu 18:30,JP1,Pitch 3,JP1.3,ENGLAND,GERMANY
U6,9,Thu 18:30,JP1,Pitch 4,JP1.4,GERMANY,ARGENTINA
U9,9,Thu 18:30,JP2,Pitch 5,JP2.1,BRAZIL,ENGLAND
U9,9,Thu 18:30,JP2,Pitch 6,JP2.2,IRELAND,SPAIN
U10,9,Thu 18:30,JP2,Pitch 7,JP2.3,IRELAND,PORTUGAL
U10,9,Thu 18:30,JP2,Pitch 8,JP2.4,BRAZIL,SPAIN
U11,9,Thu 18:30,JP3,Pitch 9,JP3.1,GERMANY,BRAZIL
U11,9,Thu 18:30,JP3,Pitch 10,JP3.2,PORTUGAL,ENGLAND
U7,9,Thu 18:30,JP3,Pitch 11,JP3.3,GERMANY,ARGENTINA
U12,9,Thu 18:30,JP4,Pitch 12,JP4.1,BRAZIL,ENGLAND
U12,9,Thu 18:30,JP4,Pitch 13,JP4.2,IRELAND,HOLLAND
U8,9,Thu 18:30,JP4,Pitch 14,JP4.3,GERMANY,ARGENTINA
U13,10,Thu 18:45,JP1,Pitch 1,JP1.1,ARGENTINA,HOLLAND
U13,10,Thu 18:45,JP1,Pitch 2,JP1.2,BRAZIL,ENGLAND
U6,10,Thu 18:45,JP1,Pitch 4,JP1.4,IRELAND,BRAZIL
U9,10,Thu 18:45,JP2,Pitch 5,JP2.1,HOLLAND,GERMANY
U9,10,Thu 18:45,JP2,Pitch 6,JP2.2,ARGENTINA,PORTUGAL
U10,10,Thu 18:45,JP2,Pitch 7,JP2.3,ARGENTINA,GERMANY
U10,10,Thu 18:45,JP2,Pitch 8,JP2.4,ENGLAND,HOLLAND
U11,10,Thu 18:45,JP3,Pitch 9,JP3.1,SPAIN,HOLLAND
U11,10,Thu 18:45,JP3,Pitch 10,JP3.2,IRELAND,ARGENTINA
U7,10,Thu 18:45,JP3,Pitch 11,JP3.3,IRELAND,BRAZIL
U12,10,Thu 18:45,JP4,Pitch 12,JP4.1,GERMANY,SPAIN
U12,10,Thu 18:45,JP4,Pitch 13,JP4.2,ARGENTINA,PORTUGAL
U8,10,Thu 18:45,JP4,Pitch 14,JP4.3,IRELAND,BRAZIL
U13,11,Thu 19:00,JP1,Pitch 1,JP1.1,SPAIN,ARGENTINA
U6,11,Thu 19:00,JP1,Pitch 4,JP1.4,SPAIN,ARGENTINA
U7,11,Thu 19:00,JP3,Pitch 11,JP3.3,SPAIN,ARGENTINA
U8,11,Thu 19:00,JP4,Pitch 14,JP4.3,SPAIN,ARGENTINA
U6,12,Thu 19:15,JP1,Pitch 4,JP1.4,GERMANY,HOLLAND
U9,12,Thu 19:15,JP2,Pitch 5,JP2.1,IRELAND,GERMANY
U9,12,Thu 19:15,JP2,Pitch 6,JP2.2,ENGLAND,ARGENTINA
U10,12,Thu 19:15,JP2,Pitch 7,JP2.3,SPAIN,ARGENTINA
U10,12,Thu 19:15,JP2,Pitch 8,JP2.4,IRELAND,HOLLAND
U11,12,Thu 19:15,JP3,Pitch 9,JP3.1,ENGLAND,ARGENTINA
U11,12,Thu 19:15,JP3,Pitch 10,JP3.2,HOLLAND,BRAZIL
U7,12,Thu 19:15,JP3,Pitch 11,JP3.3,GERMANY,HOLLAND
U12,12,Thu 19:15,JP4,Pitch 12,JP4.1,SPAIN,ENGLAND
U12,12,Thu 19:15,JP4,Pitch 13,JP4.2,HOLLAND,PORTUGAL
U8,12,Thu 19:15,JP4,Pitch 14,JP4.3,GERMANY,HOLLAND
U6,13,Thu 19:30,JP1,Pitch 4,JP1.4,IRELAND,ARGENTINA
U9,13,Thu 19:30,JP2,Pitch 5,JP2.1,PORTUGAL,BRAZIL
U9,13,Thu 19:30,JP2,Pitch 6,JP2.2,SPAIN,HOLLAND
U10,13,Thu 19:30,JP2,Pitch 7,JP2.3,BRAZIL,ENGLAND
U10,13,Thu 19:30,JP2,Pitch 8,JP2.4,GERMANY,PORTUGAL
U11,13,Thu 19:30,JP3,Pitch 9,JP3.1,PORTUGAL,SPAIN
U11,13,Thu 19:30,JP3,Pitch 10,JP3.2,IRELAND,GERMANY
U7,13,Thu 19:30,JP3,Pitch 11,JP3.3,IRELAND,ARGENTINA
U12,13,Thu 19:30,JP4,Pitch 12,JP4.1,IRELAND,GERMANY
U12,13,Thu 19:30,JP4,Pitch 13,JP4.2,BRAZIL,ARGENTINA
U8,13,Thu 19:30,JP4,Pitch 14,JP4.3,IRELAND,ARGENTINA
U6,14,Thu 19:45,JP1,Pitch 4,JP1.4,HOLLAND,BRAZIL
U9,14,Thu 19:45,JP2,Pitch 5,JP2.1,IRELAND,ARGENTINA
U9,14,Thu 19:45,JP2,Pitch 6,JP2.2,ENGLAND,GERMANY
U10,14,Thu 19:45,JP2,Pitch 7,JP2.3,IRELAND,ARGENTINA
U10,14,Thu 19:45,JP2,Pitch 8,JP2.4,SPAIN,HOLLAND
U11,14,Thu 19:45,JP3,Pitch 9,JP3.1,BRAZIL,ARGENTINA
U11,14,Thu 19:45,JP3,Pitch 10,JP3.2,ENGLAND,HOLLAND
U7,14,Thu 19:45,JP3,Pitch 11,JP3.3,HOLLAND,BRAZIL
U12,14,Thu 19:45,JP4,Pitch 12,JP4.1,PORTUGAL,ENGLAND
U12,14,Thu 19:45,JP4,Pitch 13,JP4.2,SPAIN,HOLLAND
U8,14,Thu 19:45,JP4,Pitch 14,JP4.3,HOLLAND,BRAZIL
U6,15,Thu 20:00,JP1,Pitch 4,JP1.4,GERMANY,SPAIN
U9,15,Thu 20:00,JP2,Pitch 5,JP2.1,PORTUGAL,SPAIN
U9,15,Thu 20:00,JP2,Pitch 6,JP2.2,HOLLAND,BRAZIL
U10,15,Thu 20:00,JP2,Pitch 7,JP2.3,PORTUGAL,ENGLAND
U10,15,Thu 20:00,JP2,Pitch 8,JP2.4,GERMANY,BRAZIL
U11,15,Thu 20:00,JP3,Pitch 9,JP3.1,GERMANY,SPAIN
U11,15,Thu 20:00,JP3,Pitch 10,JP3.2,IRELAND,PORTUGAL
U7,15,Thu 20:00,JP3,Pitch 11,JP3.3,GERMANY,SPAIN
U12,15,Thu 20:00,JP4,Pitch 12,JP4.1,GERMANY,BRAZIL
U12,15,Thu 20:00,JP4,Pitch 13,JP4.2,IRELAND,ARGENTINA
U8,15,Thu 20:00,JP4,Pitch 14,JP4.3,GERMANY,SPAIN
